TextJavascript                   | text/javascript;charset=UTF-8         | (Obsolete): JavaScript (RFC 4329)
TextJsx                          | text/jsx;charset=UTF-8                | Javascript template for react
TextPlain                        | text/plain;charset=UTF-8              | текстовые данные (RFC 2046 и RFC 3676)
TextPhp                          | text/php;charset=UTF-8                | Скрипт на языке PHP
TextXPython                      | text/x-python;charset=UTF-8           | Скрипт на языке Python
TextXml                          | text/xml;charset=UTF-8                | extensible markup language (RFC 3023)
TextMarkdown                     | text/markdown;charset=UTF-8           | файл языка разметки Markdown (RFC 7763)
TextCacheManifest                | text/cache-manifest                   | файл манифеста(RFC 2046)
TextXJqueryTmpl                  | text/x-jquery-tmpl                    | jQuery
TextRfc822Headers                | text/rfc822-headers                   | RFC822
TextXMakefile                    | text/x-makefile                       | Makefile
VideoMpeg                        | video/mpeg                            | MPEG-1 (RFC 2045 и RFC 2046)
VideoMp4                         | video/mp4                             | MP4 (RFC 4337)
VideoOgg                         | video/ogg                             | ogg theora или другое видео (RFC 5334)
VideoQuicktime                   | video/quicktime                       | QuickTime
VideoWebm                        | video/webm                            | WebM
VideoXMsWmv                      | video/x-ms-wmv                        | windows media video
VideoXFlv                        | video/x-flv                           | FLV
VideoXMsvideo                    | video/x-msvideo                       | AVI
Video3gpp                        | video/3gpp                            | .3gpp .3gp
Video3gpp2                       | video/3gpp2                           | .3gpp2 .3g2
